2025-11-19T02:53:27.305Z | IP: 191.95.51.210 | Status: 200 | Time: 1085ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.909,"faces":0.13,"jerseys":0.054,"time_ocr":0.827}}
2025-11-19T02:53:28.949Z | IP: 191.91.80.179 | Status: 200 | Time: 1114ms | Data: {"num_faces":1,"faces":[{"bbox":[149,514,390,273],"label":"undefined","score":0.9999817609786987}],"jerseys":[{"team":"Colombia","bbox":[12,351,639,479],"confidence":0.26848405599594116}],"colombia_count":1,"match_time":null,"image_processed":true,"total_detections":2,"processing_times":{"total":0.897,"faces":0.135,"jerseys":0.02,"time_ocr":0.847}}
2025-11-19T02:53:29.102Z | IP: 172.225.173.129 | Status: 200 | Time: 1050ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.808,"faces":0.094,"jerseys":0.015,"time_ocr":0.753}}
2025-11-19T02:53:29.221Z | IP: 191.95.51.210 | Status: 200 | Time: 1118ms | Data: {"num_faces":0,"faces":[],"jerseys":[{"team":"Colombia","bbox":[282,570,333,640],"confidence":0.1257066666666667},{"team":"Colombia","bbox":[0,513,277,640],"confidence":0.8}],"colombia_count":2,"match_time":"59:51","image_processed":true,"total_detections":2,"processing_times":{"total":0.936,"faces":0.105,"jerseys":0.046,"time_ocr":0.873}}
2025-11-19T02:53:31.067Z | IP: 191.91.80.179 | Status: 200 | Time: 1000ms | Data: {"num_faces":1,"faces":[{"bbox":[162,508,404,266],"label":"undefined","score":0.9999932050704956}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.882,"faces":0.144,"jerseys":0.063,"time_ocr":0.817}}
2025-11-19T02:53:31.108Z | IP: 191.95.51.210 | Status: 200 | Time: 1027ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.877,"faces":0.089,"jerseys":0.014,"time_ocr":0.827}}
2025-11-19T02:53:31.153Z | IP: 172.225.173.129 | Status: 200 | Time: 1099ms | Data: {"num_faces":0,"faces":[],"jerseys":[{"team":"Colombia","bbox":[46,366,110,402],"confidence":0.0889}],"colombia_count":1,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.873,"faces":0.166,"jerseys":0.034,"time_ocr":0.776}}
2025-11-19T02:53:33.061Z | IP: 191.91.80.179 | Status: 200 | Time: 1109ms | Data: {"num_faces":1,"faces":[{"bbox":[165,505,410,261],"label":"undefined","score":0.999991774559021}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.998,"faces":0.213,"jerseys":0.014,"time_ocr":0.907}}
2025-11-19T02:53:33.428Z | IP: 172.225.173.129 | Status: 200 | Time: 1238ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.953,"faces":0.156,"jerseys":0.041,"time_ocr":0.837}}
2025-11-19T02:53:33.612Z | IP: 191.95.51.210 | Status: 200 | Time: 1408ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":1.18,"faces":0.198,"jerseys":0.023,"time_ocr":1.051}}
2025-11-19T02:53:34.919Z | IP: 191.91.80.179 | Status: 200 | Time: 966ms | Data: {"num_faces":1,"faces":[{"bbox":[250,428,408,270],"label":"undefined","score":0.9999527931213379}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.854,"faces":0.115,"jerseys":0.047,"time_ocr":0.802}}
2025-11-19T02:53:35.249Z | IP: 172.225.173.129 | Status: 200 | Time: 1174ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.807,"faces":0.122,"jerseys":0.018,"time_ocr":0.738}}
2025-11-19T02:53:35.281Z | IP: 191.95.51.210 | Status: 200 | Time: 1168ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.902,"faces":0.094,"jerseys":0.051,"time_ocr":0.852}}
2025-11-19T02:53:37.056Z | IP: 191.91.80.179 | Status: 200 | Time: 1002ms | Data: {"num_faces":1,"faces":[{"bbox":[240,384,416,208],"label":"undefined","score":0.9999973773956299}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.888,"faces":0.166,"jerseys":0.066,"time_ocr":0.815}}
2025-11-19T02:53:37.130Z | IP: 172.225.173.129 | Status: 200 | Time: 1048ms | Data: {"num_faces":0,"faces":[],"jerseys":[{"team":"Colombia","bbox":[7,522,65,551],"confidence":0.055200000000000006}],"colombia_count":1,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.846,"faces":0.124,"jerseys":0.053,"time_ocr":0.767}}
2025-11-19T02:53:37.338Z | IP: 191.95.51.210 | Status: 200 | Time: 1240ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.936,"faces":0.103,"jerseys":0.062,"time_ocr":0.887}}
2025-11-19T02:53:38.948Z | IP: 191.91.80.179 | Status: 200 | Time: 997ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.881,"faces":0.1,"jerseys":0.054,"time_ocr":0.831}}
2025-11-19T02:53:39.234Z | IP: 191.95.51.210 | Status: 200 | Time: 1031ms | Data: {"num_faces":0,"faces":[],"jerseys":[{"team":"Colombia","bbox":[0,426,35,541],"confidence":0.08546666666666666},{"team":"Colombia","bbox":[0,214,480,640],"confidence":1.0}],"colombia_count":2,"match_time":null,"image_processed":true,"total_detections":2,"processing_times":{"total":0.871,"faces":0.09,"jerseys":0.016,"time_ocr":0.821}}
2025-11-19T02:53:39.345Z | IP: 172.225.173.129 | Status: 200 | Time: 1047ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.815,"faces":0.114,"jerseys":0.021,"time_ocr":0.747}}
2025-11-19T02:53:40.938Z | IP: 172.225.173.129 | Status: 200 | Time: 832ms | Data: {"num_faces":0,"faces":[],"jerseys":[{"team":"Colombia","bbox":[283,105,353,234],"confidence":0.4534}],"colombia_count":1,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.586,"faces":0.105,"jerseys":0.041,"time_ocr":0.519}}
2025-11-19T02:53:41.032Z | IP: 191.95.51.210 | Status: 200 | Time: 918ms | Data: {"num_faces":0,"faces":[],"jerseys":[{"team":"Colombia","bbox":[0,255,430,640],"confidence":1.0}],"colombia_count":1,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.652,"faces":0.091,"jerseys":0.013,"time_ocr":0.603}}
